Name,RetailPrice,DealerCost,EngineSize,Cyl,HP,CityMPG,HwyMPG,Weight,WheelBase,Len,Width,Id
Acura 3.5 RL 4dr,43755,39014,3.5,6,225,18,24,3880,115,197,72,1
Acura 3.5 RL w/Navigation 4dr,46100,41100,3.5,6,225,18,24,3893,115,197,72,2
Acura MDX,36945,33337,3.5,6,265,17,23,4451,106,189,77,3
Porsche 911 GT2 2dr,192465,173560,3.6,6,477,17,24,3131,93,175,72,4
Acura RSX Type S 2dr,23820,21761,2,4,200,24,31,2778,101,172,68,5
Acura TL 4dr,33195,30299,3.2,6,270,20,28,3575,108,186,72,6
Acura TSX 4dr,26990,24647,2.4,4,200,22,29,3230,105,183,69,7
Audi A4 1.8T 4dr,25940,23508,1.8,4,170,22,31,3252,104,179,70,8
Audi A4 3.0 4dr,31840,28846,3,6,220,20,28,3462,104,179,70,9
Audi A4 3.0 convertible 2dr,42490,38325,3,6,220,20,27,3814,105,180,70,10
Audi A4 3.0 Quattro 4dr auto,34480,31388,3,6,220,18,25,3627,104,179,70,11
Audi A4 3.0 Quattro 4dr manual,33430,30366,3,6,220,17,26,3583,104,179,70,12
Audi A4 3.0 Quattro convertible 2dr,44240,40075,3,6,220,18,25,4013,105,180,70,13
Audi A41.8T convertible 2dr,35940,32506,1.8,4,170,23,30,3638,105,180,70,14
Audi A6 2.7 Turbo Quattro 4dr,42840,38840,2.7,6,250,18,25,3836,109,192,71,15
Audi A6 3.0 4dr,36640,33129,3,6,220,20,27,3561,109,192,71,16
Audi A6 3.0 Avant Quattro,40840,37060,3,6,220,18,25,4035,109,192,71,17
Audi A6 3.0 Quattro 4dr,39640,35992,3,6,220,18,25,3880,109,192,71,18
Audi A6 4.2 Quattro 4dr,49690,44936,4.2,8,300,17,24,4024,109,193,71,19
Audi A8 L Quattro 4dr,69190,64740,4.2,8,330,17,24,4399,121,204,75,20
Mercedes-Benz CL600 2dr,128420,119600,5.5,12,493,13,19,4473,114,196,73,21
Audi S4 Avant Quattro,49090,44446,4.2,8,340,15,21,3936,104,179,70,22
Audi S4 Quattro 4dr,48040,43556,4.2,8,340,14,20,3825,104,179,70,23
Audi TT 1.8 convertible 2dr (coupe),35940,32512,1.8,4,180,20,28,3131,95,159,73,24
Audi TT 1.8 Quattro 2dr (convertible),37390,33891,1.8,4,225,20,28,2921,96,159,73,25
Audi TT 3.2 coupe 2dr (convertible),40590,36739,3.2,6,250,21,29,3351,96,159,73,26
BMW 325Ci 2dr,30795,28245,2.5,6,184,20,29,3197,107,177,69,27
BMW 325Ci convertible 2dr,37995,34800,2.5,6,184,19,27,3560,107,177,69,28
BMW 325i 4dr,28495,26155,2.5,6,184,20,29,3219,107,176,69,29
BMW 325xi 4dr,30245,27745,2.5,6,184,19,27,3461,107,176,69,30
BMW 325xi Sport,32845,30110,2.5,6,184,19,26,3594,107,176,69,31
BMW 330Ci 2dr,36995,33890,3,6,225,20,30,3285,107,176,69,32
BMW 330Ci convertible 2dr,44295,40530,3,6,225,19,28,3616,107,177,69,33
BMW 330i 4dr,35495,32525,3,6,225,20,30,3285,107,176,69,34
BMW 330xi 4dr,37245,34115,3,6,225,20,29,3483,107,176,69,35
BMW 525i 4dr,39995,36620,2.5,6,184,19,28,3428,114,191,73,36
BMW 530i 4dr,44995,41170,3,6,225,20,30,3472,114,191,73,37
BMW 545iA 4dr,54995,50270,4.4,8,325,18,26,3814,114,191,73,38
BMW 745i 4dr,69195,63190,4.4,8,325,18,26,4376,118,198,75,39
Mercedes-Benz SL600 convertible 2dr,126670,117854,5.5,12,493,13,19,4429,101,179,72,40
BMW M3 convertible 2dr,56595,51815,3.2,6,333,16,23,3781,108,177,70,41
BMW M3 coupe 2dr,48195,44170,3.2,6,333,16,24,3415,108,177,70,42
BMW X3 3.0i,37000,33873,3,6,225,16,23,4023,110,180,73,43
BMW X5 4.4i,52195,47720,4.4,8,325,16,22,4824,111,184,74,44
BMW Z4 convertible 2.5i 2dr,33895,31065,2.5,6,184,20,28,2932,98,161,70,45
BMW Z4 convertible 3.0i 2dr,41045,37575,3,6,225,21,29,2998,98,161,70,46
Buick Century Custom 4dr,22180,20351,3.1,6,175,20,30,3353,109,195,73,47
Buick LeSabre Custom 4dr,26470,24282,3.8,6,205,20,29,3567,112,200,74,48
Buick LeSabre Limited 4dr,32245,29566,3.8,6,205,20,29,3591,112,200,74,49
Buick Park Avenue 4dr,35545,32244,3.8,6,205,20,29,3778,114,207,75,50
Buick Park Avenue Ultra 4dr,40720,36927,3.8,6,240,18,28,3909,114,207,75,51
Buick Rainier,37895,34357,4.2,6,275,15,21,4600,113,193,75,52
Buick Regal GS 4dr,28345,26047,3.8,6,240,18,28,3536,109,196,73,53
Buick Regal LS 4dr,24895,22835,3.8,6,200,20,30,3461,109,196,73,54
Buick Rendezvous CX,26545,24085,3.4,6,185,19,26,4024,112,187,74,55
Cadillac CTS VVT 4dr,30835,28575,3.6,6,255,18,25,3694,113,190,71,56
Cadillac Deville 4dr,45445,41650,4.6,8,275,18,26,3984,115,207,74,57
Cadillac Deville DTS 4dr,50595,46362,4.6,8,300,18,26,4044,115,207,74,58
Cadillac Escaladet,52795,48377,5.3,8,295,14,18,5367,116,199,79,59
Cadillac Seville SLS 4dr,47955,43841,4.6,8,275,18,26,3992,112,201,75,60
Cadillac SRX V8,46995,43523,4.6,8,320,16,21,4302,116,195,73,61
Mercedes-Benz SL55 AMG 2dr,121770,113388,5.5,8,493,14,21,4235,101,179,72,62
Chevrolet Astro,26395,23954,4.3,6,190,14,17,4605,111,190,78,63
Chevrolet Aveo 4dr,11690,10965,1.6,4,103,28,34,2370,98,167,66,64
Chevrolet Aveo LS 4dr hatch,12585,11802,1.6,4,103,28,34,2348,98,153,66,65
Chevrolet Cavalier 2dr,14610,13697,2.2,4,140,26,37,2617,104,183,69,66
Chevrolet Cavalier 4dr,14810,13884,2.2,4,140,26,37,2676,104,183,68,67
Chevrolet Cavalier LS 2dr,16385,15357,2.2,4,140,26,37,2617,104,183,69,68
